nMC	Rp	Porb	Mp	ecc	inc	Omega	omega	theta	Abond	AgeomVIS	AgeomMIR	zodis	a	rp	ang_sep	ang_sep_max	Finc	f	Tp	nstar	Rs	Ms	Ts	dist	stype	ra	dec	lGal	bGal	name	
Nuniverse	Rp	Porb	Mp	ep	ip	Omegap	omegap	thetap	Abond	AgeomVIS	AgeomMIR	z	ap	rp	AngSep	maxAngSep	Fp	fp	Tp	Nstar	Rs	Ms	Ts	Ds	Stype	RA	Dec	lGal	bGal	name	
0	0.62578	407.37069	0.11332	0.00000	2.26582	4.03566	0.14723	6.01076	0.26387	0.49819	0.02856	375.58423	1.15860	1.15860	0.12919	0.12979	2.00579	0.36773	306.80569	10	1.36000	1.25000	6340.00000	8.92698	F	86.11580	-22.44838	226.79576	-24.27310	*gamLep
0	2.12640	4.28428	3.93242	0.00000	0.11814	0.59889	2.73253	2.68197	0.64546	0.59836	0.02224	0.70253	0.05562	0.05562	0.00340	0.00341	870.49800	0.36459	1166.57136	11	1.36000	1.25000	6340.00000	16.29726	F	341.67325	12.17288	81.27500	-40.39897	*ksiPeg
0	1.55190	16.64549	4.09898	0.00000	0.11814	1.12856	4.18173	4.90828	0.15229	0.54838	0.06725	0.70253	0.13745	0.13745	0.00843	0.00843	142.51997	0.29919	922.75007	11	1.36000	1.25000	6340.00000	16.29726	F	341.67325	12.17288	81.27500	-40.39897	*ksiPeg
0	1.21931	45.12539	1.54632	0.00000	0.11814	5.68785	2.51013	0.96558	0.57197	0.04064	0.07412	0.70253	0.26723	0.26723	0.01639	0.01640	37.70306	0.33787	557.84753	11	1.36000	1.25000	6340.00000	16.29726	F	341.67325	12.17288	81.27500	-40.39897	*ksiPeg
0	0.53159	7.67724	0.05598	0.00000	0.92651	4.56209	5.38129	5.59040	0.52078	0.06339	0.04947	3.89930	0.04861	0.04861	0.00179	0.00297	3.60170	0.82656	319.01654	12	0.29100	0.26000	3250.00000	16.34738	M	341.67643	12.17253	81.27796	-40.40112	*ksiPegB
0	0.77621	20.42505	0.39334	0.00000	0.92651	1.43547	2.39109	0.35524	0.35575	0.43574	0.05781	3.89930	0.09334	0.09334	0.00543	0.00571	0.97700	0.17959	247.90890	12	0.29100	0.26000	3250.00000	16.34738	M	341.67643	12.17253	81.27796	-40.40112	*ksiPegB
0	2.35015	50.50018	6.74323	0.00000	0.92651	2.35245	4.42861	2.61898	0.20295	0.28730	0.04029	3.89930	0.17067	0.17067	0.00870	0.01044	0.29223	0.09174	193.35512	12	0.29100	0.26000	3250.00000	16.34738	M	341.67643	12.17253	81.27796	-40.40112	*ksiPegB
0	1.11675	86.88770	2.54385	0.00000	0.92651	4.78021	4.25102	2.88684	0.72022	0.46859	0.01149	3.89930	0.24506	0.24506	0.01196	0.01499	0.14174	0.07663	124.20292	12	0.29100	0.26000	3250.00000	16.34738	M	341.67643	12.17253	81.27796	-40.40112	*ksiPegB
0	1.63364	131.53200	2.70717	0.00000	0.92651	5.12813	0.79164	3.23178	0.22263	0.03705	0.08844	3.89930	0.32308	0.32308	0.01555	0.01976	0.08155	0.68970	139.65663	12	0.29100	0.26000	3250.00000	16.34738	M	341.67643	12.17253	81.27796	-40.40112	*ksiPegB
0	2.45723	2.43371	7.02884	0.00000	1.97693	5.59028	2.84079	5.14926	0.70643	0.25624	0.02967	3.63337	0.03774	0.03774	0.00108	0.00260	1621.26086	0.00812	1300.00529	13	1.30000	1.21000	6240.00000	14.53066	F	216.29915	51.85074	93.83210	59.65260	*tetBoo
