catalog	scan	target_yr	param	param_value	for_deg	budget_ph_s_um
hab2hi	slew	4.0	ST	1	72	1524
hab2hi	slew	4.0	ST	1	76	1524
hab2hi	slew	4.0	ST	1	79	1704
hab2hi	slew	4.0	ST	1	83	1774
hab2hi	slew	4.0	ST	1	86	1834
hab2hi	slew	4.0	ST	1	90	nan
hab2hi	slew	4.0	ST	3	40	0
hab2hi	slew	4.0	ST	3	44	0
hab2hi	slew	4.0	ST	3	47	252
hab2hi	slew	4.0	ST	3	51	333
hab2hi	slew	4.0	ST	3	54	510
hab2hi	slew	4.0	ST	3	58	706
hab2hi	slew	4.0	ST	3	61	1051
hab2hi	slew	4.0	ST	3	65	1182
hab2hi	slew	4.0	ST	3	69	1182
hab2hi	slew	4.0	ST	3	72	1226
hab2hi	slew	4.0	ST	3	76	1226
hab2hi	slew	4.0	ST	3	79	1320
hab2hi	slew	4.0	ST	3	83	1373
hab2hi	slew	4.0	ST	3	86	1457
hab2hi	slew	4.0	ST	3	90	1457
hab2hi	slew	4.0	ST	5	40	0
hab2hi	slew	4.0	ST	5	44	0
hab2hi	slew	4.0	ST	5	47	92
hab2hi	slew	4.0	ST	5	51	238
hab2hi	slew	4.0	ST	5	54	355
hab2hi	slew	4.0	ST	5	58	444
hab2hi	slew	4.0	ST	5	61	815
hab2hi	slew	4.0	ST	5	65	815
hab2hi	slew	4.0	ST	5	69	891
hab2hi	slew	4.0	ST	5	72	891
hab2hi	slew	4.0	ST	5	76	891
hab2hi	slew	4.0	ST	5	79	1035
hab2hi	slew	4.0	ST	5	83	1035
hab2hi	slew	4.0	ST	5	86	1262
hab2hi	slew	4.0	ST	5	90	1262
hab2hi	slew	4.0	ST	7	40	0
hab2hi	slew	4.0	ST	7	44	0
hab2hi	slew	4.0	ST	7	47	0
hab2hi	slew	4.0	ST	7	51	111
hab2hi	slew	4.0	ST	7	54	168
hab2hi	slew	4.0	ST	7	58	352
hab2hi	slew	4.0	ST	7	61	574
hab2hi	slew	4.0	ST	7	65	685
hab2hi	slew	4.0	ST	7	69	685
hab2hi	slew	4.0	ST	7	72	733
hab2hi	slew	4.0	ST	7	76	733
hab2hi	slew	4.0	ST	7	79	859
hab2hi	slew	4.0	ST	7	83	922
hab2hi	slew	4.0	ST	7	86	1043
hab2hi	slew	4.0	ST	7	90	1043
hab2hi	slew	4.0	ST	9	40	0
hab2hi	slew	4.0	ST	9	44	0
hab2hi	slew	4.0	ST	9	47	0
hab2hi	slew	4.0	ST	9	51	0
hab2hi	slew	4.0	ST	9	54	74
hab2hi	slew	4.0	ST	9	58	196
hab2hi	slew	4.0	ST	9	61	387
hab2hi	slew	4.0	ST	9	65	452
hab2hi	slew	4.0	ST	9	69	499
hab2hi	slew	4.0	ST	9	72	563
hab2hi	slew	4.0	ST	9	76	563
hab2hi	slew	4.0	ST	9	79	691
hab2hi	slew	4.0	ST	9	83	691
hab2hi	slew	4.0	ST	9	86	774
hab2hi	slew	4.0	ST	9	90	774
hab2hi	slew	4.0	ST	11	40	0
hab2hi	slew	4.0	ST	11	44	0
hab2hi	slew	4.0	ST	11	47	0
hab2hi	slew	4.0	ST	11	51	0
hab2hi	slew	4.0	ST	11	54	0
hab2hi	slew	4.0	ST	11	58	48
hab2hi	slew	4.0	ST	11	61	278
hab2hi	slew	4.0	ST	11	65	278
hab2hi	slew	4.0	ST	11	69	278
hab2hi	slew	4.0	ST	11	72	344
hab2hi	slew	4.0	ST	11	76	344
hab2hi	slew	4.0	ST	11	79	421
hab2hi	slew	4.0	ST	11	83	570
hab2hi	slew	4.0	ST	11	86	570
hab2hi	slew	4.0	ST	11	90	570
hab2hi	slew	4.0	ST	13	40	0
hab2hi	slew	4.0	ST	13	44	0
hab2hi	slew	4.0	ST	13	47	0
hab2hi	slew	4.0	ST	13	51	0
hab2hi	slew	4.0	ST	13	54	0
hab2hi	slew	4.0	ST	13	58	0
hab2hi	slew	4.0	ST	13	61	119
hab2hi	slew	4.0	ST	13	65	119
hab2hi	slew	4.0	ST	13	69	186
hab2hi	slew	4.0	ST	13	72	268
hab2hi	slew	4.0	ST	13	76	301
hab2hi	slew	4.0	ST	13	79	301
hab2hi	slew	4.0	ST	13	83	418
hab2hi	slew	4.0	ST	13	86	418
hab2hi	slew	4.0	ST	13	90	418
hab2hi	slew	4.0	ST	16	40	0
hab2hi	slew	4.0	ST	16	44	0
hab2hi	slew	4.0	ST	16	47	0
hab2hi	slew	4.0	ST	16	51	0
hab2hi	slew	4.0	ST	16	54	0
hab2hi	slew	4.0	ST	16	58	0
hab2hi	slew	4.0	ST	16	61	0
hab2hi	slew	4.0	ST	16	65	0
hab2hi	slew	4.0	ST	16	69	0
hab2hi	slew	4.0	ST	16	72	0
hab2hi	slew	4.0	ST	16	76	114
hab2hi	slew	4.0	ST	16	79	114
hab2hi	slew	4.0	ST	16	83	114
hab2hi	slew	4.0	ST	16	86	191
hab2hi	slew	4.0	ST	16	90	191
hab2hi	slew	4.0	ST	18	40	0
hab2hi	slew	4.0	ST	18	44	0
hab2hi	slew	4.0	ST	18	47	0
hab2hi	slew	4.0	ST	18	51	0
hab2hi	slew	4.0	ST	18	54	0
hab2hi	slew	4.0	ST	18	58	0
hab2hi	slew	4.0	ST	18	61	0
hab2hi	slew	4.0	ST	18	65	0
hab2hi	slew	4.0	ST	18	69	0
hab2hi	slew	4.0	ST	18	72	0
hab2hi	slew	4.0	ST	18	76	0
hab2hi	slew	4.0	ST	18	79	0
hab2hi	slew	4.0	ST	18	83	0
hab2hi	slew	4.0	ST	18	86	0
hab2hi	slew	4.0	ST	18	90	0
hab2hi	slew	4.0	ST	20	40	0
hab2hi	slew	4.0	ST	20	44	0
hab2hi	slew	4.0	ST	20	47	0
hab2hi	slew	4.0	ST	20	51	0
hab2hi	slew	4.0	ST	20	54	0
hab2hi	slew	4.0	ST	20	58	0
hab2hi	slew	4.0	ST	20	61	0
hab2hi	slew	4.0	ST	20	65	0
hab2hi	slew	4.0	ST	20	69	0
hab2hi	slew	4.0	ST	20	72	0
hab2hi	slew	4.0	ST	20	76	0
hab2hi	slew	4.0	ST	20	79	0
hab2hi	slew	4.0	ST	20	83	0
hab2hi	slew	4.0	ST	20	86	0
hab2hi	slew	4.0	ST	20	90	0
hab2hi	slew	4.0	ST	22	40	0
hab2hi	slew	4.0	ST	22	44	0
hab2hi	slew	4.0	ST	22	47	0
hab2hi	slew	4.0	ST	22	51	0
hab2hi	slew	4.0	ST	22	54	0
hab2hi	slew	4.0	ST	22	58	0
hab2hi	slew	4.0	ST	22	61	0
hab2hi	slew	4.0	ST	22	65	0
hab2hi	slew	4.0	ST	22	69	0
hab2hi	slew	4.0	ST	22	72	0
hab2hi	slew	4.0	ST	22	76	0
hab2hi	slew	4.0	ST	22	79	0
hab2hi	slew	4.0	ST	22	83	0
hab2hi	slew	4.0	ST	22	86	0
hab2hi	slew	4.0	ST	22	90	0
