timestamp	arm	catalog	null_order	mtime_target_yr	budget_family	throughput	eff_tot	endpoint_ph_s_um	mtime_achieved_yr	residual_yr	wall_s
2026-07-27T18:46:42+00:00	control	hab2lo	4	8.0	long_weighted	0.15	0.09	1864.093834243696	8.015716	0.0157	53.8
2026-07-27T18:47:55+00:00	control	hab2lo	4	8.0	short_weighted	0.15	0.09	1458.3044801392903	8.01686	0.0169	72.4
2026-07-27T18:48:38+00:00	penalized	hab2lo	4	7.5	flat	0.075	0.045	0	10.7874	3.2874	32.9
2026-07-27T18:49:10+00:00	penalized	hab2lo	4	7.5	long_weighted	0.075	0.045	0	10.7874	3.2874	32.1
2026-07-27T18:49:40+00:00	penalized	hab2lo	4	7.5	short_weighted	0.075	0.045	0	10.7874	3.2874	29.6
2026-07-27T18:50:08+00:00	penalized	hab2lo	4	8.0	flat	0.075	0.045	0	10.7874	2.7874	28.2
2026-07-27T18:50:36+00:00	penalized	hab2lo	4	8.0	long_weighted	0.075	0.045	0	10.7874	2.7874	28.0
2026-07-27T18:51:02+00:00	penalized	hab2lo	4	8.0	short_weighted	0.075	0.045	0	10.7874	2.7874	26.4
2026-07-27T18:57:21+00:00	control	hab2hi	2	5.5	flat	0.15	0.09	142.41363438231622	5.541118	0.0411	55.8
2026-07-27T18:58:16+00:00	control	hab2hi	2	5.5	long_weighted	0.15	0.09	210.53844469409717	5.529452	0.0295	54.4
2026-07-27T18:59:09+00:00	control	hab2hi	2	5.5	short_weighted	0.15	0.09	298.28347706687003	5.454866	-0.0451	53.7
2026-07-27T19:00:23+00:00	control	hab2hi	2	6.0	flat	0.15	0.09	610.2695179236866	5.997111	-0.0029	73.2
2026-07-27T19:01:15+00:00	control	hab2hi	2	6.0	long_weighted	0.15	0.09	1089.2909654339312	5.961962	-0.038	52.7
2026-07-27T19:02:11+00:00	control	hab2hi	2	6.0	short_weighted	0.15	0.09	1303.1019295880235	6.044953	0.045	55.7
2026-07-27T19:03:03+00:00	control	hab2lo	2	7.5	flat	0.15	0.09	62.16788556411485	7.483605	-0.0164	42.2
2026-07-27T19:03:36+00:00	control	hab2lo	2	7.5	long_weighted	0.15	0.09	156.70160922980827	7.527864	0.0279	33.3
2026-07-27T19:04:10+00:00	control	hab2lo	2	7.5	short_weighted	0.15	0.09	197.91737390727982	7.52105	0.021	33.0
2026-07-27T19:04:50+00:00	control	hab2lo	2	8.0	flat	0.15	0.09	462.79851336024893	8.036489	0.0365	40.9
2026-07-27T19:05:32+00:00	control	hab2lo	2	8.0	long_weighted	0.15	0.09	810.1029744419471	7.991748	-0.0083	41.5
2026-07-27T19:06:15+00:00	control	hab2lo	2	8.0	short_weighted	0.15	0.09	973.9170091171441	8.03651	0.0365	43.2
2026-07-27T20:05:18+00:00	penalized	hab2hi	4	8.0	flat	0.075	0.045	38.405318868285676	8.014298	0.0143	103.6
2026-07-27T20:06:38+00:00	penalized	hab2hi	4	8.0	long_weighted	0.075	0.045	142.58711983012404	7.999758	-0.0002	79.4
2026-07-27T20:08:08+00:00	penalized	hab2hi	4	8.0	short_weighted	0.075	0.045	54.70301617229366	8.012336	0.0123	90.0
2026-07-27T20:09:43+00:00	penalized	hab2hi	4	8.5	flat	0.075	0.045	134.0452630647819	8.539881	0.0399	95.0
2026-07-27T20:11:04+00:00	penalized	hab2hi	4	8.5	long_weighted	0.075	0.045	411.39864096189854	8.480998	-0.019	81.4
2026-07-27T20:12:35+00:00	penalized	hab2hi	4	8.5	short_weighted	0.075	0.045	248.84416834081458	8.466717	-0.0333	90.3
2026-07-27T20:14:02+00:00	penalized	hab2hi	4	9.0	flat	0.075	0.045	277.81626754826647	9.046408	0.0464	87.4
2026-07-27T20:15:29+00:00	penalized	hab2hi	4	9.0	long_weighted	0.075	0.045	837.931808002346	9.008094	0.0081	87.4
2026-07-27T20:16:44+00:00	penalized	hab2hi	4	9.0	short_weighted	0.075	0.045	641.2267867251102	9.044225	0.0442	74.6
2026-07-27T20:18:19+00:00	penalized	hab2lo	4	11.0	flat	0.075	0.045	48.53598259597049	10.962622	-0.0374	64.9
2026-07-27T20:19:01+00:00	penalized	hab2lo	4	11.0	long_weighted	0.075	0.045	154.20805093585608	11.010156	0.0102	41.3
2026-07-27T20:20:02+00:00	penalized	hab2lo	4	11.0	short_weighted	0.075	0.045	81.40552204417325	10.968642	-0.0314	61.4
2026-07-27T20:21:04+00:00	penalized	hab2lo	4	11.5	flat	0.075	0.045	108.97220453194765	11.465534	-0.0345	62.0
2026-07-27T20:21:55+00:00	penalized	hab2lo	4	11.5	long_weighted	0.075	0.045	377.65306984047646	11.523651	0.0237	51.6
2026-07-27T20:23:18+00:00	penalized	hab2lo	4	11.5	short_weighted	0.075	0.045	153.90705232956122	11.484233	-0.0158	82.1
2026-07-27T20:24:18+00:00	penalized	hab2lo	4	12.0	flat	0.075	0.045	184.59120572187862	11.962351	-0.0376	60.0
2026-07-27T20:25:09+00:00	penalized	hab2lo	4	12.0	long_weighted	0.075	0.045	626.308831952028	12.01869	0.0187	51.6
2026-07-27T20:26:52+00:00	penalized	hab2lo	4	12.0	short_weighted	0.075	0.045	276.6798026555016	11.931637	-0.0684	103.1
