nstar	snr_ref	snr_t6	ratio	ratio_equal_area	in_ref_top50
256	2.51165	3.21866	1.28149	1.04668	False
257	0.633656	0.805672	1.27146	1.03849	False
258	2.83957	4.10141	1.44438	1.17972	False
259	1.1277	1.54289	1.36818	1.11748	False
260	5.18948	6.93352	1.33607	1.09126	False
261	16.2691	23.2073	1.42647	1.16509	True
262	0.962449	1.20232	1.24923	1.02033	False
263	3.54654	4.56791	1.28799	1.05199	False
264	8.64395	12.9808	1.50172	1.22656	False
265	1.36125	1.69758	1.24708	1.01857	False
266	3.83169	4.94124	1.28957	1.05328	False
267	0.758547	0.952297	1.25542	1.02539	False
268	1.21822	1.51967	1.24745	1.01888	False
269	3.78882	5.99776	1.58302	1.29296	False
270	13.0279	23.7321	1.82164	1.48786	True
271	1.57916	2.20991	1.39942	1.143	False
274	2.29243	3.00632	1.31141	1.07112	False
275	1.32519	1.94076	1.46451	1.19617	False
276	4.22754	6.46647	1.52961	1.24933	False
280	1.67289	2.45801	1.46932	1.20009	False
281	0.692275	0.937096	1.35365	1.10561	False
282	0.556879	0.819784	1.47211	1.20237	False
283	5.6973	8.64458	1.51731	1.23929	False
284	1.27153	1.65574	1.30217	1.06357	False
286	2.61419	3.50464	1.34062	1.09498	False
287	6.00257	8.2682	1.37744	1.12505	False
288	0.520752	0.600945	1.15399	0.942544	False
289	7.17502	10.9251	1.52265	1.24365	False
290	5.73344	9.24237	1.61201	1.31664	False
291	2.47396	3.48062	1.4069	1.14911	False
292	8.0837	11.0775	1.37035	1.11926	False
293	0.929243	1.151	1.23864	1.01168	False
296	7.3783	12.3542	1.6744	1.36759	False
297	3.72373	5.15691	1.38488	1.13112	False
298	14.2848	19.9557	1.39699	1.14102	True
299	0.463432	0.662677	1.42994	1.16792	False
300	1.7795	2.41687	1.35817	1.10931	False
301	2.39974	3.19384	1.33091	1.08705	False
302	2.30292	3.427	1.48811	1.21544	False
303	6.4255	9.32739	1.45162	1.18564	False
304	2.24417	2.85002	1.26997	1.03727	False
306	2.80185	4.55424	1.62544	1.32761	False
307	4.7357	6.71223	1.41737	1.15766	False
308	1.07402	1.3765	1.28164	1.0468	False
309	1.10584	1.42039	1.28444	1.04909	False
310	2.98542	3.97694	1.33212	1.08803	False
313	1.19482	1.86199	1.55838	1.27284	False
314	2.10647	2.98426	1.41671	1.15712	False
315	1.25308	1.69805	1.35511	1.10681	False
316	7.30392	13.4895	1.84689	1.50848	False
317	2.18697	2.88752	1.32033	1.0784	False
318	0.86308	1.11296	1.28952	1.05324	False
319	0.96381	1.25866	1.30592	1.06663	False
320	1.35723	1.75584	1.2937	1.05665	False
321	0.834047	1.08788	1.30434	1.06534	False
322	0.407739	0.508656	1.2475	1.01892	False
323	1.23829	1.57326	1.27051	1.03771	False
324	5.2229	7.77205	1.48807	1.21541	False
325	2.81843	3.79613	1.3469	1.1001	False
327	2.64435	3.65836	1.38347	1.12997	False
328	1.97111	2.55928	1.29839	1.06048	False
329	0.808603	1.0735	1.32759	1.08434	False
331	5.06666	7.16577	1.4143	1.15515	False
332	1.35269	2.00737	1.48399	1.21207	False
333	0.851348	1.11529	1.31003	1.06999	False
334	1.1417	1.50422	1.31753	1.07611	False
335	0.811428	1.09803	1.35321	1.10526	False
337	2.15484	3.29166	1.52757	1.24767	False
338	3.02125	4.43183	1.46688	1.1981	False
339	1.48975	2.62534	1.76227	1.43937	False
340	1.85025	2.5417	1.37371	1.122	False
341	18.3638	26.051	1.41861	1.15867	True
342	1.60287	2.11099	1.31701	1.07569	False
343	1.01006	1.40283	1.38886	1.13437	False
345	2.03702	2.63967	1.29585	1.05841	False
346	3.72869	5.1956	1.39341	1.13809	False
347	1.54244	1.97915	1.28313	1.04802	False
348	0.770933	1.08613	1.40885	1.15071	False
349	5.14815	6.8417	1.32896	1.08545	False
350	12.9236	19.9781	1.54586	1.26261	True
351	0.439997	0.549469	1.2488	1.01998	False
352	9.72736	17.7507	1.82482	1.49045	False
353	2.41165	3.17654	1.31717	1.07582	False
354	0.830819	1.11179	1.33818	1.09298	False
356	0.910385	1.46874	1.61332	1.31771	False
357	1.11098	1.78423	1.606	1.31173	False
358	0.916513	1.18658	1.29467	1.05745	False
359	2.50101	3.60104	1.43984	1.17601	False
360	1.01311	1.29598	1.27921	1.04482	False
361	7.07226	9.52584	1.34693	1.10013	False
362	2.59768	3.17917	1.22385	0.999602	False
363	1.95145	2.73297	1.40048	1.14386	False
364	1.87874	2.7224	1.44906	1.18354	False
365	11.6975	18.4763	1.5795	1.29009	True
366	3.82717	4.4674	1.16729	0.9534	False
367	2.18206	2.87991	1.31981	1.07798	False
368	1.66792	2.3664	1.41878	1.15881	False
370	2.15234	2.68412	1.24707	1.01857	False
372	0.826054	1.08615	1.31486	1.07394	False
