design	catalog	target_yr	short_budget	long_budget	mtime_yr
bracewell4	hab2lo	7.5	553.1681	16926.6662	10.8492
bracewell4	hab2lo	7.5	553.1681	25958.8659	10.8492
bracewell4	hab2lo	7.5	553.1681	39810.7171	10.8492
bracewell4	hab2lo	7.5	848.3429	100.0000	7.8432
bracewell4	hab2lo	7.5	848.3429	153.3608	7.8848
bracewell4	hab2lo	7.5	848.3429	235.1953	7.9438
bracewell4	hab2lo	7.5	848.3429	360.6973	8.1538
bracewell4	hab2lo	7.5	848.3429	553.1681	8.1272
bracewell4	hab2lo	7.5	848.3429	848.3429	8.4247
bracewell4	hab2lo	7.5	848.3429	1301.0252	8.7789
bracewell4	hab2lo	7.5	848.3429	1995.2623	9.3335
bracewell4	hab2lo	7.5	848.3429	3059.9497	10.0339
bracewell4	hab2lo	7.5	848.3429	4692.7625	10.0339
bracewell4	hab2lo	7.5	848.3429	7196.8567	10.0339
bracewell4	hab2lo	7.5	848.3429	11037.1550	10.0339
bracewell4	hab2lo	7.5	848.3429	16926.6662	10.0339
bracewell4	hab2lo	7.5	848.3429	25958.8659	10.0339
bracewell4	hab2lo	7.5	848.3429	39810.7171	10.0339
bracewell4	hab2lo	7.5	1301.0252	100.0000	8.1404
bracewell4	hab2lo	7.5	1301.0252	153.3608	8.1814
bracewell4	hab2lo	7.5	1301.0252	235.1953	8.2298
bracewell4	hab2lo	7.5	1301.0252	360.6973	8.3322
bracewell4	hab2lo	7.5	1301.0252	553.1681	8.6286
bracewell4	hab2lo	7.5	1301.0252	848.3429	8.6524
bracewell4	hab2lo	7.5	1301.0252	1301.0252	9.0698
bracewell4	hab2lo	7.5	1301.0252	1995.2623	9.4876
bracewell4	hab2lo	7.5	1301.0252	3059.9497	10.2643
bracewell4	hab2lo	7.5	1301.0252	4692.7625	10.2643
bracewell4	hab2lo	7.5	1301.0252	7196.8567	10.2643
bracewell4	hab2lo	7.5	1301.0252	11037.1550	10.2643
bracewell4	hab2lo	7.5	1301.0252	16926.6662	10.2643
bracewell4	hab2lo	7.5	1301.0252	25958.8659	10.2643
bracewell4	hab2lo	7.5	1301.0252	39810.7171	10.2643
bracewell4	hab2lo	7.5	1995.2623	100.0000	8.5398
bracewell4	hab2lo	7.5	1995.2623	153.3608	8.5812
bracewell4	hab2lo	7.5	1995.2623	235.1953	8.6517
bracewell4	hab2lo	7.5	1995.2623	360.6973	8.7195
bracewell4	hab2lo	7.5	1995.2623	553.1681	8.9560
bracewell4	hab2lo	7.5	1995.2623	848.3429	9.0578
