nstar	snr_ref	snr_t6	ratio	ratio_equal_area	in_ref_top50
1443	1.53616	2.1057	1.37076	1.11959	False
1444	2.34293	3.11843	1.331	1.08711	False
1445	1.09741	1.42902	1.30218	1.06357	False
1446	1.60739	2.3889	1.4862	1.21388	False
1447	3.50449	4.79611	1.36856	1.1178	False
1448	1.01927	1.34892	1.32341	1.08092	False
1449	1.0556	1.38567	1.31268	1.07216	False
1450	0.529269	0.707856	1.33742	1.09236	False
1451	2.8356	3.88795	1.37112	1.11989	False
1452	0.571422	0.717071	1.25489	1.02495	False
1453	3.51299	6.38286	1.81693	1.48401	False
1454	0.654666	0.836062	1.27708	1.04308	False
1455	1.54433	2.17507	1.40843	1.15036	False
1456	0.862877	1.12355	1.30209	1.06351	False
1457	1.63989	2.17124	1.32402	1.08141	False
1458	2.26749	3.55497	1.5678	1.28053	False
1460	1.78154	2.4328	1.36556	1.11534	False
1461	1.21516	1.65742	1.36394	1.11402	False
1462	1.24222	1.82631	1.4702	1.20081	False
1463	0.521973	0.653786	1.25253	1.02302	False
1464	2.35095	3.35822	1.42845	1.16671	False
1465	1.2671	1.63626	1.29134	1.05473	False
1466	2.72802	3.88602	1.42449	1.16347	False
1467	3.6762	5.19062	1.41195	1.15324	False
1468	2.37716	3.39875	1.42975	1.16777	False
1469	0.982298	1.32004	1.34382	1.09759	False
1470	1.45892	1.85747	1.27318	1.03989	False
1471	5.47909	8.34436	1.52295	1.24389	False
1472	1.05084	1.33505	1.27046	1.03767	False
1474	1.11872	1.64024	1.46618	1.19753	False
1475	0.416493	0.537384	1.29026	1.05384	False
1476	0.877918	1.24463	1.41771	1.15794	False
1477	1.72961	2.3556	1.36193	1.11238	False
1478	0.924014	1.20729	1.30657	1.06716	False
1479	0.684167	0.935603	1.36751	1.11694	False
1480	1.41663	2.08229	1.46989	1.20056	False
1481	3.12996	4.10057	1.3101	1.07005	False
1482	2.01478	3.04978	1.5137	1.23634	False
1483	0.677622	0.850844	1.25563	1.02556	False
1484	0.979769	1.26453	1.29064	1.05416	False
1485	1.05369	1.14421	1.08592	0.88694	False
1486	3.27226	4.68615	1.43208	1.16968	False
1487	1.69993	2.30018	1.3531	1.10517	False
1488	3.592	5.94978	1.6564	1.35289	False
1489	1.53269	1.96305	1.28079	1.04611	False
1490	0.701749	0.92202	1.31389	1.07314	False
1491	8.17014	12.0695	1.47727	1.20659	False
1492	6.67357	10.7929	1.61727	1.32093	False
1493	1.48899	1.97895	1.32905	1.08553	False
1494	1.72048	2.35085	1.3664	1.11603	False
1495	1.95054	2.80657	1.43886	1.17522	False
1496	0.967569	1.33819	1.38304	1.12962	False
1498	1.95759	2.64696	1.35215	1.1044	False
1499	0.563988	0.715749	1.26909	1.03655	False
1500	0.911915	1.0442	1.14506	0.935248	False
1501	1.16947	1.92333	1.64462	1.34327	False
1502	0.739533	1.04304	1.41041	1.15198	False
1503	3.32137	5.13496	1.54604	1.26275	False
1504	0.678155	0.897825	1.32392	1.08134	False
1505	0.606271	0.739235	1.21931	0.995896	False
1507	0.95804	1.42381	1.48617	1.21386	False
1509	0.937244	1.15756	1.23506	1.00876	False
1510	2.07743	2.85635	1.37494	1.12301	False
1512	2.15037	2.94295	1.36858	1.11781	False
1513	0.756475	0.967424	1.27886	1.04453	False
1514	0.331516	0.436077	1.3154	1.07438	False
1515	2.25265	3.19297	1.41743	1.15771	False
1516	1.12098	1.4176	1.26461	1.03289	False
1517	1.18228	1.55282	1.31341	1.07275	False
1518	0.807608	1.02354	1.26737	1.03515	False
1519	0.514828	0.642492	1.24797	1.01931	False
1520	0.503806	0.644265	1.2788	1.04448	False
1521	1.22629	1.56496	1.27618	1.04234	False
1522	1.1847	1.57415	1.32873	1.08526	False
1524	0.919757	1.17549	1.27804	1.04386	False
1525	2.68617	3.70987	1.3811	1.12804	False
1526	1.33832	1.73535	1.29666	1.05907	False
1527	1.89729	2.55947	1.34901	1.10183	False
1528	0.445984	0.617974	1.38564	1.13175	False
1529	2.45474	3.29223	1.34117	1.09542	False
